RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
206,Alca torda,plosnatokljuna njorka,Razorbill,B,, -, -, -, -,,LC,III,,
207,Cepphus grylle,crna njorka,Black Guillemot,B,, -, -, -, -,,LC,III,,
208,Fratercula arctica,tupik,Atlantic Puffin,A,Rare, -, -, -, -,,LC,lll,,
209,Syrrhaptes paradoxus,kirgiska sadža,Pallas's Sandgrouse,B,, -, -, -, -,,LC,,,
210,Columba livia,divlji golub,Rock Pigeon,A,R,B, -, -,LC,-,LC,lll,,II-A
211,Columba oenas,golub dupljaš,Stock Dove,A,R,B,M,W,VU,D1,LC,lll,,II-B 
212,Columba palumbus,golub grivnjaš,Common Wood-pigeon,A,R,B,M,W,LC,-,LC,,,II-A/III-A
213,Streptopelia turtur,grlica,European Turtle-dove,A,R,B,M, -,LC,-,LC,lll,,II-B 
214,Streptopelia decaocto,gugutka,Eurasian Collared-dove,A,R,B, -, -,LC,-,LC,lll,,II-B 
215,Psittacula krameri,mala aleksandra,Rose-ringed Parakeet,D,Rare, -, -, -, -,,LC,,,
216,Clamator glandarius,afrička kukavica,Great Spotted Cuckoo,A,Ir,B*, -, -,NA,-,LC,II,,
217,Cuculus canorus,kukavica,Common Cuckoo,A,R,B,M, -,LC,-,LC,lll,,
218,Tyto alba,kukuvija,Barn Owl,A,R,B, -, -,NT,-,LC,II,,
219,Otus scops,ćuk,Common Scops-owl,A,R,B,M, -,LC,-,LC,II,,
220,Bubo bubo,ušara,Eurasian Eagle-owl,A,R,B, -, -,NT,-,LC,II,,I
221,Strix aluco,šumska sova,Tawny Owl,A,R,B, -, -,LC,-,LC,II,,
222,Strix uralensis,jastrebača,Ural Owl,A,R,B, -, -,NT,-,LC,II,,l
223,Glaucidium passerinum,mali ćuk,Eurasian Pygmy-owl,A,R,B, -, -,VU,D1,LC,II,,I
224,Athene noctua,sivi ćuk,Little Owl,A,R,B, -, -,NT,-,LC,II,,
225,Aegolius funereus,planinski ćuk,Boreal Owl,A,R,B, -, -,NT*,-,LC,II,,I
226,Asio otus,mala ušara,Long-eared Owl,A,R,B,M,W,LC,-,LC,II,,
227,Asio flammeus,sova močvarica,Short-eared Owl,A,R,B*,M*,W,NA,-,LC,II,,I
228,Caprimulgus europaeus,leganj,Eurasian Nightjar,A,R,B,M, -,LC,-,LC,II,,I
229,Apus apus,čiopa,Common Swift,A,R,B,M, -,LC,-,LC,lll,,
230,Apus pallidus,smeda čiopa,Pallid Swift,A,R,B, -, -,LC,-,LC,II,,
231,Tachymarptis melba,bijela čiopa,Alpine Swift,A,R,B, -, -,LC,-,LC,II,,
232,Alcedo atthis,vodomar,Common Kingfisher,A,R,B,M,W,NT,-,LC,II,,I
233,Merops persicus,plavolica pčelarica,Blue-cheeked Bee-eater,A,Rare, -, -, -, -,,LC,III,,
234,Merops apiaster,pčelarica,European Bee-eater,A,R,B,M, -,LC,-,LC,II,ll,
235,Coracias garrulus,zlatovrana,European Roller,A,R,B,M, -,CR,D,NT,II,ll,I
236,Upupa epops,pupavac,Eurasian Hoopoe,A,R,B,M, -,LC,-,LC,II,,
237,Jynx torquilla,vijoglav,Eurasian Wryneck,A,R,B,M, -,LC,-,LC,II,,
